,ProjectID,Project Summary,Scope and Deliverables,Theme_x,Products Involved,Required Skills and Expertise,Customer Preferences (Certifications),Integration Requirements (Expertise Areas),Customer Industry,Work Location_x,Work Flexibility_x,Languages Required,Complexity,Effort,Requested End,EmployeeID,Role Name,Role Description,Theme_y,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location_y,Work Flexibility_y,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership,Product Match Score,Location Match Score,Language Match Score,Industry Match Score,Skill Match Score,Certification Match Score,Expertise Match Score,Job Description Match Score,Cultural Awareness Score,Problem Solving Score,Leadership Score,Availability Score,Available,Product Match Score Weighted,Location Match Score Weighted,Language Match Score Weighted,Industry Match Score Weighted,Skill Match Score Weighted,Certification Match Score Weighted,Expertise Match Score Weighted,Job Description Match Score Weighted,Cultural Awareness Score Weighted,Problem Solving Score Weighted,Leadership Score Weighted,Final Score
234,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E15,Pre-Sales Engineer,Prepares technical demos and solution proposals for prospects.,Sales,['CRM Pro'],"{'CRM Integration': 6, 'Negotiation': 5, 'Client Management': 10, 'Customer Relationship Management': 10}",['CRM Specialist Certification'],"['Sales Pipeline Automation', 'CRM Integration']","['Retail', 'Finance', 'Education']",London,onsite,{'Italian': 'B2'},2025-06-08,40,7,10,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.0,0.3,0.81,0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.35,0.5,0.15,2.8
235,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E16,Data Analyst,Analyzes data and delivers business insights.,Technical,['IntegrationHub'],"{'IT Infrastructure': 6, 'Data Analysis': 5, 'Cloud Services': 10, 'Workflow Automation': 9, 'API Development': 8}",['ISO 27001'],"['Cybersecurity', 'Networking']","['Retail', 'Education', 'Healthcare']",Berlin,remote,"{'Italian': 'B2', 'English': 'B2', 'French': 'B1'}",2025-06-09,40,7,9,9,0.0,1.0,1.0,0.0,0.9,0.0,0.5,0.0,0.7,0.9,0.9,0.78,0,0.0,1.0,1.0,0.0,1.8,0.0,1.0,0.0,0.35,0.45,0.45,6.05
226,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E7,Digital Marketing Specialist,"Executes online campaigns, SEO, and branding strategies.",Marketing,"['Content CMS', 'SEO Toolkit', 'Digital Campaign Manager']","{'Copywriting': 7, 'SEO Optimization': 8, 'Branding': 6, 'Campaign Management': 10, 'Content Strategy': 9}",['Digital Marketing Certification'],"['Social Media Integration', 'SEO Optimization']",['Retail'],London,onsite,"{'Italian': 'A1', 'English': 'A2', 'French': 'A1'}",2025-06-02,30,6,6,7,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.72,0,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.35,2.62
228,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E9,IT Systems Engineer,Maintains and optimizes internal IT infrastructure.,Technical,"['IntegrationHub', 'Print2.0', 'Workflow2000']","{'API Development': 6, 'IT Infrastructure': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Scripting']","['Retail', 'Education']",Berlin,onsite,"{'French': 'B2', 'German': 'C2'}",2025-06-06,30,7,1,5,0.5,1.0,0.0,0.0,0.8,0.0,0.5,0.0,0.7,0.1,0.5,0.64,0,0.5,1.0,0.0,0.0,1.6,0.0,1.0,0.0,0.35,0.05,0.25,4.749999999999999
232,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E13,Compliance Manager,Ensures adherence to regulations and company standards.,Legal,"['Contract Manager Pro', 'Regulatory Tracker', 'Compliance Suite']","{'Regulatory Knowledge': 9, 'Compliance Documentation': 9, 'Contract Management': 8}",['GDPR Certification'],['Document Archiving'],"['Education', 'Finance']",Vienna,onsite,"{'Italian': 'A2', 'English': 'B1', 'French': 'B2'}",2025-05-23,20,1,7,10,0.0,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.1,0.7,1.0,0.61,0,0.0,1.0,0.83,0.8,0.0,0.0,0.0,0.0,0.05,0.35,0.5,3.53
233,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E14,Compliance Manager,Ensures adherence to regulations and company standards.,Legal,"['Compliance Suite', 'Regulatory Tracker']","{'Regulatory Knowledge': 4, 'Document Review': 6}","['GDPR Certification', 'Contract Law Certification']",['Contract Management Systems'],"['Finance', 'Education', 'Manufacturing']",London,remote,"{'Italian': 'A2', 'German': 'C2', 'English': 'B1'}",2025-06-17,40,9,10,5,0.0,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.5,0.57,0,0.0,1.0,0.83,0.8,0.0,0.0,0.0,0.0,0.45,0.5,0.25,3.83
236,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E17,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,['Sales Enablement Suite'],"{'CRM Integration': 10, 'Customer Relationship Management': 6, 'Negotiation': 7, 'Client Management': 9}",['Certified Sales Professional (CSP)'],"['Client Relationship Systems', 'Sales Pipeline Automation']","['Retail', 'Healthcare', 'Finance']",Berlin,hybrid,"{'French': 'B2', 'Italian': 'B1', 'English': 'A1'}",2025-05-27,20,4,3,2,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.56,0,0.0,1.0,0.5,0.8,0.0,0.0,0.0,0.0,0.2,0.15,0.1,2.75
223,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E4,HR Business Partner,Collaborates with leadership to align HR strategy.,HR,"['HRIS Plus', 'Onboarding Suite']","{'Communication Skills': 9, 'Digital HR': 8, 'Organizational Development': 5, 'Talent Management': 6}","['HR Analytics Certification', 'SHRM-CP']","['HRIS Systems', 'Organizational Development Systems']","['Finance', 'Healthcare']",Vienna,hybrid,"{'English': 'C1', 'Italian': 'B2', 'French': 'B1'}",2025-05-29,20,2,4,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.042,0.2,0.4,0.6,0.53,0,0.0,1.0,1.0,0.8,0.0,0.0,0.0,0.084,0.1,0.2,0.3,3.484
238,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E19,Customer Success Manager,Supports post-sales success and client satisfaction.,Sales,"['SalesForce Light', 'Loyalty CRM']","{'Client Management': 9, 'Customer Relationship Management': 10, 'CRM Integration': 5}",['Certified Sales Professional (CSP)'],"['Sales Pipeline Automation', 'CRM Integration']","['Education', 'Finance', 'Healthcare']",Berlin,hybrid,"{'English': 'A2', 'Italian': 'A1', 'French': 'C1'}",2025-06-12,30,3,3,1,0.0,1.0,0.67,1.0,0.0,0.0,0.0,0.042,0.3,0.3,0.1,0.53,0,0.0,1.0,0.67,0.8,0.0,0.0,0.0,0.084,0.15,0.15,0.05,2.9039999999999995
227,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E8,Corporate Trainer,Designs and delivers employee training programs.,HR,"['HRIS Plus', 'Employee Experience Platform']","{'Talent Management': 9, 'Digital HR': 10}","['PMP', 'SHRM-CP']",['Organizational Development Systems'],"['Manufacturing', 'Retail']",Berlin,hybrid,"{'German': 'A1', 'English': 'B1'}",2025-06-03,20,10,10,8,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.47,0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,3.23
237,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E18,Solution Architect,Designs high-level technical solutions for enterprise customers.,Technical,['Print2.0'],"{'Data Analysis': 6, 'API Development': 8, 'Workflow Automation': 4, 'Cloud Services': 10, 'IT Infrastructure': 6}",['Microsoft Azure Certification'],['API Integration'],['Manufacturing'],London,remote,{'French': 'C2'},2025-06-19,30,6,7,10,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.6,0.7,1.0,0.39,0,0.0,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.3,0.35,0.5,3.9499999999999997
231,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E12,Strategy Consultant,Advises leadership on business growth and optimization strategies.,Consulting,['Strategy Kit'],"{'Project Management': 9, 'Change Management': 10}","['Agile Practitioner', 'PMP']","['Business Workflow Optimization', 'Strategic Planning']",['Healthcare'],Berlin,onsite,{'French': 'B1'},2025-06-10,20,9,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.1,0.38,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1,0.05,1.6
225,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E6,Legal Counsel,Provides legal support for contracts and compliance.,Legal,"['Compliance Suite', 'Contract Manager Pro']","{'Regulatory Knowledge': 8, 'Compliance Documentation': 5}","['Certified Compliance Officer', 'Contract Law Certification']",['Contract Management Systems'],"['Healthcare', 'Finance', 'Retail']",Berlin,hybrid,"{'German': 'B1', 'Italian': 'B1', 'English': 'A2'}",2025-05-22,10,10,8,6,0.0,1.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.31,0,0.0,1.0,0.67,0.8,0.0,0.0,0.0,0.0,0.5,0.4,0.3,3.6699999999999995
229,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E10,Project Manager,Oversees project delivery and coordinates cross-functional teams.,Consulting,"['Strategy Kit', 'ERP Migration Tool']","{'Business Analysis': 6, 'Strategic Planning': 9, 'Change Management': 6, 'Project Management': 10}","['Agile Practitioner', 'PMP']",['Strategic Planning'],['Manufacturing'],Vienna,remote,{'English': 'A1'},2025-05-23,10,8,5,10,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.31,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.5,2.65
220,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E1,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,"['CloudSuite', 'Workflow2000']","{'Workflow Automation': 6, 'Cloud Services': 8, 'API Development': 10, 'Data Analysis': 9}",['ISO 27001'],['Networking'],['Retail'],London,remote,"{'French': 'C1', 'English': 'C2', 'German': 'A2'}",2025-06-19,20,7,7,1,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.7,0.7,0.1,0.26,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35,0.35,0.05,4.749999999999999
221,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E2,Technical Support Specialist,Resolves technical issues reported by customers.,Technical,['Print2.0'],"{'Workflow Automation': 8, 'Data Analysis': 4}","['ISO 27001', 'Microsoft Azure Certification']",['Cybersecurity'],"['Finance', 'Healthcare']",London,onsite,"{'French': 'C2', 'English': 'A2', 'Italian': 'B1'}",2025-05-31,10,10,4,9,0.0,1.0,0.67,1.0,0.0,0.0,0.5,0.0,1.0,0.4,0.9,0.25,0,0.0,1.0,0.67,0.8,0.0,0.0,1.0,0.0,0.5,0.2,0.45,4.62
224,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E5,Legal Counsel,Provides legal support for contracts and compliance.,Legal,['Contract Manager Pro'],"{'Document Review': 8, 'Regulatory Knowledge': 4, 'Contract Management': 7}",['GDPR Certification'],"['Document Archiving', 'Regulatory Compliance Tools']",['Education'],London,remote,"{'Italian': 'A2', 'German': 'A2'}",2025-06-12,10,4,10,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.4,0.18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,1.9
239,P12,Implement scalable workflow automation system,"Deploy Workflow2000, integrate with client systems",Technical,"['CloudSuite', 'Workflow2000']","{'IT Infrastructure': 7, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",Finance,Berlin,remote,{'English': 'B2'},10,220,2025-07-09,E20,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,"['Loyalty CRM', 'SalesForce Light']","{'Customer Relationship Management': 5, 'Negotiation': 6, 'Client Management': 5}",['Certified Sales Professional (CSP)'],['Sales Pipeline Automation'],"['Healthcare', 'Retail', 'Education']",London,onsite,{'French': 'B1'},2025-06-13,10,8,6,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.8,0.17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4,2.1
250,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E11,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,"['SalesForce Light', 'Loyalty CRM']","{'Negotiation': 9, 'Customer Relationship Management': 5, 'CRM Integration': 5, 'Client Management': 4}","['CRM Specialist Certification', 'Certified Sales Professional (CSP)']",['CRM Integration'],"['Education', 'Finance']",London,remote,{'German': 'B1'},2025-05-25,40,9,8,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,1.0,0.39,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.4,0.5,2.35
252,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E13,Compliance Manager,Ensures adherence to regulations and company standards.,Legal,"['Contract Manager Pro', 'Regulatory Tracker', 'Compliance Suite']","{'Regulatory Knowledge': 9, 'Compliance Documentation': 9, 'Contract Management': 8}",['GDPR Certification'],['Document Archiving'],"['Education', 'Finance']",Vienna,onsite,"{'Italian': 'A2', 'English': 'B1', 'French': 'B2'}",2025-05-23,20,1,7,10,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.0,0.23,0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.5,2.73
242,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E3,Legal Counsel,Provides legal support for contracts and compliance.,Legal,"['Contract Manager Pro', 'Regulatory Tracker', 'Compliance Suite']","{'Regulatory Knowledge': 4, 'Document Review': 8, 'Compliance Documentation': 7}",['Certified Compliance Officer'],"['Document Archiving', 'Contract Management Systems']",['Retail'],Berlin,onsite,{'Italian': 'C2'},2025-05-31,40,2,8,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.3,0.21,0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.4,0.15,2.45
256,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E17,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,['Sales Enablement Suite'],"{'CRM Integration': 10, 'Customer Relationship Management': 6, 'Negotiation': 7, 'Client Management': 9}",['Certified Sales Professional (CSP)'],"['Client Relationship Systems', 'Sales Pipeline Automation']","['Retail', 'Healthcare', 'Finance']",Berlin,hybrid,"{'French': 'B2', 'Italian': 'B1', 'English': 'A1'}",2025-05-27,20,4,3,2,0.0,1.0,0.67,1.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.17,0,0.0,1.0,0.67,0.8,0.0,0.0,0.0,0.0,0.2,0.15,0.1,2.92
243,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E4,HR Business Partner,Collaborates with leadership to align HR strategy.,HR,"['HRIS Plus', 'Onboarding Suite']","{'Communication Skills': 9, 'Digital HR': 8, 'Organizational Development': 5, 'Talent Management': 6}","['HR Analytics Certification', 'SHRM-CP']","['HRIS Systems', 'Organizational Development Systems']","['Finance', 'Healthcare']",Vienna,hybrid,"{'English': 'C1', 'Italian': 'B2', 'French': 'B1'}",2025-05-29,20,2,4,6,0.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.14,0,0.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,2.52
245,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E6,Legal Counsel,Provides legal support for contracts and compliance.,Legal,"['Compliance Suite', 'Contract Manager Pro']","{'Regulatory Knowledge': 8, 'Compliance Documentation': 5}","['Certified Compliance Officer', 'Contract Law Certification']",['Contract Management Systems'],"['Healthcare', 'Finance', 'Retail']",Berlin,hybrid,"{'German': 'B1', 'Italian': 'B1', 'English': 'A2'}",2025-05-22,10,10,8,6,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.12,0,0.0,1.0,0.25,0.8,0.0,0.0,0.0,0.0,0.5,0.4,0.3,3.2499999999999996
246,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E7,Digital Marketing Specialist,"Executes online campaigns, SEO, and branding strategies.",Marketing,"['Content CMS', 'SEO Toolkit', 'Digital Campaign Manager']","{'Copywriting': 7, 'SEO Optimization': 8, 'Branding': 6, 'Campaign Management': 10, 'Content Strategy': 9}",['Digital Marketing Certification'],"['Social Media Integration', 'SEO Optimization']",['Retail'],London,onsite,"{'Italian': 'A1', 'English': 'A2', 'French': 'A1'}",2025-06-02,30,6,6,7,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.11,0,0.0,1.0,0.5,0.8,0.0,0.0,0.0,0.0,0.3,0.3,0.35,3.2499999999999996
249,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E10,Project Manager,Oversees project delivery and coordinates cross-functional teams.,Consulting,"['Strategy Kit', 'ERP Migration Tool']","{'Business Analysis': 6, 'Strategic Planning': 9, 'Change Management': 6, 'Project Management': 10}","['Agile Practitioner', 'PMP']",['Strategic Planning'],['Manufacturing'],Vienna,remote,{'English': 'A1'},2025-05-23,10,8,5,10,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.11,0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.5,2.32
247,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E8,Corporate Trainer,Designs and delivers employee training programs.,HR,"['HRIS Plus', 'Employee Experience Platform']","{'Talent Management': 9, 'Digital HR': 10}","['PMP', 'SHRM-CP']",['Organizational Development Systems'],"['Manufacturing', 'Retail']",Berlin,hybrid,"{'German': 'A1', 'English': 'B1'}",2025-06-03,20,10,10,8,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.06,0,0.0,1.0,0.33,0.8,0.0,0.0,0.0,0.0,0.5,0.5,0.4,3.53
241,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E2,Technical Support Specialist,Resolves technical issues reported by customers.,Technical,['Print2.0'],"{'Workflow Automation': 8, 'Data Analysis': 4}","['ISO 27001', 'Microsoft Azure Certification']",['Cybersecurity'],"['Finance', 'Healthcare']",London,onsite,"{'French': 'C2', 'English': 'A2', 'Italian': 'B1'}",2025-05-31,10,10,4,9,0.0,1.0,0.75,0.0,1.0,0.5,0.0,0.0,1.0,0.4,0.9,0.05,0,0.0,1.0,0.75,0.0,2.0,0.4,0.0,0.0,0.5,0.2,0.45,5.300000000000001
248,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E9,IT Systems Engineer,Maintains and optimizes internal IT infrastructure.,Technical,"['IntegrationHub', 'Print2.0', 'Workflow2000']","{'API Development': 6, 'IT Infrastructure': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Scripting']","['Retail', 'Education']",Berlin,onsite,"{'French': 'B2', 'German': 'C2'}",2025-06-06,30,7,1,5,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.7,0.1,0.5,0.02,0,0.0,1.0,0.5,0.8,2.0,0.4,2.0,0.0,0.35,0.05,0.25,7.35
240,P13,Data warehouse design,Create new analytics-ready database,Technical,['CloudSuite'],"{'Data Analsyis': 10, 'Workflow Atuomation': 9, 'IT Infrastructure': 6, 'API Development': 5}","['ITIL', 'Microsoft Azure Certification']",['Cloud Infrastructure'],Retail,oLndon,remote,"{'French': 'B2', 'English': 'C1'}",3,190,2025-06-07,E1,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,"['CloudSuite', 'Workflow2000']","{'Workflow Automation': 6, 'Cloud Services': 8, 'API Development': 10, 'Data Analysis': 9}",['ISO 27001'],['Networking'],['Retail'],London,remote,"{'French': 'C1', 'English': 'C2', 'German': 'A2'}",2025-06-19,20,7,7,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.1,0.0,0,1.0,1.0,1.0,0.8,2.0,0.0,0.0,0.0,0.35,0.35,0.05,6.549999999999999
